	UTC Date	WP	Altitude	True Track	Magnetic Track	Wind Angle	Wind Speed	HeadWind Indic	CrossWind Indic	TailWindComp	CrossWindComp_ABS	True Heading	Magnetic Heading	WCA	EAS	TAS	GS	GcDistToNextWp	GcDistToDestinationThroughWP	Navi_TimeToNextWP	Flight Time	Latitude	Longitude
0			(ft)	(°)	(°)	(°)	(kt)	()	()	(kt)	(kt)	(°)	(°)	(°)	(kt)	(kt)	(kt)	(NM)	(NM)	()	()	(°)	(°)
1	2019-06-23 06:00:00.000	EDDM	0.0	312.0	309.0	256.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	35.0	31.0	244.4	638.9	6:27:26	0:00:00	48.35378	11.78609
2	2019-06-23 06:01:00.000		136.0	312.0	309.0	256.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	35.0	31.0	243.9	638.4	6:26:26	0:01:00	48.35953	11.77659
3	2019-06-23 06:02:00.000		271.0	312.0	309.0	256.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	35.0	31.0	243.3	637.9	6:25:26	0:02:00	48.36529	11.76706
4	2019-06-23 06:03:00.000		406.0	312.0	309.0	256.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	35.0	31.0	242.8	637.4	6:24:26	0:03:00	48.37108	11.75749
5	2019-06-23 06:04:00.000		541.0	312.0	309.0	256.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	35.0	31.0	242.3	636.8	6:23:26	0:04:00	48.37688	11.74789
6	2019-06-23 06:05:00.000		675.0	312.0	309.0	256.0	7.0	0	0	-4.0	5.0	303.0	300.0	-9.0	35.0	35.0	31.0	241.8	636.3	6:22:26	0:05:00	48.3827	11.73825
7	2019-06-23 06:06:00.000		809.0	312.0	309.0	256.0	7.0	0	0	-4.0	5.0	303.0	300.0	-9.0	35.0	35.0	31.0	241.3	635.8	6:21:26	0:06:00	48.38854	11.72858
8	2019-06-23 06:07:00.000		943.0	312.0	309.0	256.0	6.0	0	0	-4.0	5.0	304.0	300.0	-9.0	35.0	35.0	31.0	240.8	635.3	6:20:26	0:07:00	48.3944	11.71888
9	2019-06-23 06:08:00.000		1077.0	312.0	309.0	256.0	6.0	0	0	-4.0	5.0	304.0	300.0	-9.0	35.0	36.0	32.0	240.2	634.7	6:19:26	0:08:00	48.40028	11.70913
10	2019-06-23 06:09:00.000		1210.0	312.0	309.0	256.0	7.0	0	0	-4.0	5.0	303.0	300.0	-9.0	35.0	36.0	31.0	239.7	634.2	6:18:26	0:09:00	48.40618	11.69936
11	2019-06-23 06:10:00.000		1343.0	312.0	309.0	257.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	36.0	31.0	239.2	633.7	6:17:26	0:10:00	48.41205	11.68962
12	2019-06-23 06:11:00.000		1475.0	312.0	309.0	257.0	7.0	0	0	-4.0	6.0	303.0	300.0	-9.0	35.0	36.0	31.0	238.7	633.2	6:16:26	0:11:00	48.41789	11.67993
13	2019-06-23 06:12:00.000		1608.0	312.0	309.0	258.0	7.0	0	0	-4.0	6.0	303.0	299.0	-10.0	35.0	36.0	31.0	238.1	632.7	6:15:26	0:12:00	48.4237	11.67028
14	2019-06-23 06:13:00.000		1740.0	312.0	309.0	258.0	8.0	0	0	-5.0	6.0	302.0	299.0	-10.0	35.0	36.0	31.0	237.6	632.1	6:14:26	0:13:00	48.42948	11.66069
15	2019-06-23 06:14:00.000		1871.0	312.0	309.0	261.0	8.0	0	0	-5.0	6.0	303.0	299.0	-10.0	35.0	36.0	31.0	237.1	631.6	6:13:26	0:14:00	48.43523	11.65114
16	2019-06-23 06:15:00.000		2003.0	312.0	309.0	268.0	7.0	0	0	-5.0	5.0	304.0	301.0	-8.0	35.0	36.0	30.0	236.6	631.1	6:12:26	0:15:00	48.44095	11.64165
17	2019-06-23 06:16:00.000		2134.0	312.0	309.0	275.0	7.0	0	0	-6.0	4.0	305.0	302.0	-7.0	35.0	36.0	30.0	236.1	630.6	6:11:26	0:16:00	48.44661	11.63223
18	2019-06-23 06:17:00.000		2265.0	312.0	309.0	283.0	7.0	0	0	-6.0	3.0	307.0	304.0	-5.0	35.0	36.0	30.0	235.6	630.1	6:10:26	0:17:00	48.45223	11.62288
19	2019-06-23 06:18:00.000		2395.0	312.0	309.0	291.0	7.0	0	0	-6.0	2.0	308.0	305.0	-4.0	35.0	36.0	30.0	235.1	629.6	6:09:26	0:18:00	48.45781	11.61362
20	2019-06-23 06:19:00.000		2526.0	312.0	309.0	300.0	7.0	0	0	-7.0	2.0	310.0	307.0	-2.0	35.0	36.0	29.0	234.6	629.1	6:08:26	0:19:00	48.46333	11.60443
21	2019-06-23 06:20:00.000		2656.0	312.0	309.0	306.0	7.0	0	0	-7.0	1.0	311.0	308.0	-1.0	35.0	36.0	29.0	234.1	628.6	6:07:26	0:20:00	48.4688	11.59532
22	2019-06-23 06:21:00.000		2785.0	312.0	309.0	313.0	7.0	0	0	-7.0	0.0	312.0	309.0	0.0	35.0	36.0	30.0	233.6	628.1	6:06:26	0:21:00	48.47428	11.58621
23	2019-06-23 06:22:00.000		2915.0	312.0	309.0	319.0	7.0	0	0	-7.0	1.0	313.0	310.0	1.0	35.0	36.0	30.0	233.1	627.6	6:05:26	0:22:00	48.47979	11.57702
24	2019-06-23 06:23:00.000		3044.0	312.0	309.0	325.0	7.0	0	0	-6.0	1.0	314.0	311.0	2.0	35.0	37.0	30.0	232.6	627.1	6:04:26	0:23:00	48.48535	11.56776
25	2019-06-23 06:24:00.000		3172.0	312.0	309.0	331.0	7.0	0	0	-6.0	2.0	315.0	312.0	3.0	35.0	37.0	30.0	232.1	626.6	6:03:26	0:24:00	48.49094	11.55844
26	2019-06-23 06:25:00.000		3301.0	312.0	309.0	337.0	7.0	0	0	-6.0	3.0	317.0	313.0	4.0	35.0	37.0	30.0	231.6	626.1	6:02:26	0:25:00	48.49658	11.54905
27	2019-06-23 06:26:00.000		3429.0	312.0	309.0	339.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	231.1	625.6	6:01:26	0:26:00	48.50224	11.5396
28	2019-06-23 06:27:00.000		3557.0	312.0	309.0	339.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	230.6	625.1	6:00:26	0:27:00	48.50793	11.53011
29	2019-06-23 06:28:00.000		3685.0	312.0	309.0	339.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	230.1	624.6	5:59:26	0:28:00	48.51364	11.52059
30	2019-06-23 06:29:00.000		3812.0	312.0	309.0	340.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	229.6	624.1	5:58:26	0:29:00	48.51936	11.51103
31	2019-06-23 06:30:00.000		3939.0	312.0	309.0	340.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	229.1	623.6	5:57:26	0:30:00	48.5251	11.50143
32	2019-06-23 06:31:00.000		4066.0	312.0	309.0	340.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	228.6	623.1	5:56:26	0:31:00	48.53087	11.4918
33	2019-06-23 06:32:00.000		4193.0	312.0	309.0	341.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	228.0	622.6	5:55:26	0:32:00	48.53665	11.48213
34	2019-06-23 06:33:00.000		4319.0	312.0	309.0	342.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	227.5	622.0	5:54:26	0:33:00	48.54246	11.47242
35	2019-06-23 06:34:00.000		4445.0	312.0	309.0	343.0	7.0	0	0	-6.0	3.0	317.0	314.0	5.0	35.0	37.0	31.0	227.0	621.5	5:53:26	0:34:00	48.54829	11.46267
36	2019-06-23 06:35:00.000		4570.0	312.0	309.0	345.0	7.0	0	0	-6.0	4.0	318.0	315.0	6.0	35.0	37.0	32.0	226.5	621.0	5:52:26	0:35:00	48.55414	11.45288
37	2019-06-23 06:36:00.000		4696.0	312.0	309.0	346.0	7.0	0	0	-6.0	4.0	318.0	315.0	6.0	35.0	37.0	32.0	225.9	620.5	5:51:26	0:36:00	48.56002	11.44304
38	2019-06-23 06:37:00.000		4821.0	312.0	309.0	347.0	7.0	0	0	-5.0	4.0	318.0	315.0	6.0	35.0	37.0	32.0	225.4	619.9	5:50:26	0:37:00	48.56592	11.43316
39	2019-06-23 06:38:00.000		4946.0	312.0	309.0	349.0	7.0	0	0	-5.0	4.0	318.0	315.0	6.0	35.0	38.0	32.0	224.9	619.4	5:49:26	0:38:00	48.57184	11.42324
40	2019-06-23 06:39:00.000		5070.0	312.0	309.0	352.0	7.0	0	0	-5.0	4.0	319.0	316.0	7.0	35.0	38.0	32.0	224.4	618.9	5:48:26	0:39:00	48.57779	11.41327
